date,disposable_income,real_disposable_income,compensation,private_wages,govt_wages,supplements,nonfarm_income,dividend_income,transfer_receipts,social_security,medicare,medicaid,unemployment,veterans,social_contributions,personal_taxes,population,dpi_per_capita
2021-10-01,18529.1,16733.5,12934.8,9095.5,1570.3,2269.0,1793.5,1882.4,3986.5,3880.5,903.9,740.8,36.5,155.1,1606.9,2801.8,332955.0,55650.0
2021-11-01,18600.5,16686.4,13042.9,9192.4,1574.1,2276.5,1796.6,1894.9,3985.9,3875.8,908.8,743.6,29.6,156.2,1622.2,2838.6,333109.0,55839.0
2021-12-01,18631.4,16610.8,13131.3,9267.4,1580.9,2283.1,1772.8,1910.7,3997.9,3883.7,913.6,754.7,26.1,157.3,1635.9,2876.2,333251.0,55908.0
2022-01-01,18277.5,16206.1,13116.2,9246.9,1587.4,2281.9,1752.6,1903.3,4026.5,3908.1,918.5,777.2,25.1,158.6,1652.1,3226.2,333349.0,54830.0
2022-02-01,18387.6,16207.6,13187.2,9306.8,1592.5,2287.9,1753.2,1902.6,4083.0,3961.2,923.6,793.5,24.5,159.9,1664.0,3261.6,333444.0,55145.0
2022-03-01,18457.9,16127.2,13233.4,9346.1,1596.3,2291.0,1752.1,1910.0,4098.4,3974.0,929.1,805.6,23.5,161.3,1672.7,3289.7,333595.0,55330.0
2022-04-01,18511.9,16125.5,13252.7,9357.9,1601.1,2293.7,1744.9,1920.1,4122.6,3996.2,926.8,815.0,21.9,163.0,1677.7,3309.8,333776.0,55462.0
2022-05-01,18601.3,16103.0,13289.7,9386.2,1605.3,2298.2,1750.8,1939.1,4116.2,3988.4,932.9,821.0,21.5,164.7,1684.6,3305.9,333958.0,55699.0
2022-06-01,18734.1,16062.9,13339.0,9424.2,1609.7,2305.1,1756.0,1955.7,4117.4,3976.5,939.3,821.9,22.0,166.6,1692.6,3277.0,334147.0,56065.0
2022-07-01,18975.2,16270.4,13517.9,9572.2,1624.4,2321.2,1777.6,1961.3,4123.2,3993.1,937.8,820.1,22.7,168.6,1716.0,3243.3,334370.0,56749.0
2022-08-01,19141.5,16367.3,13608.2,9645.1,1630.2,2333.0,1797.0,1973.0,4130.0,4001.2,944.9,818.6,23.4,170.5,1728.3,3215.6,334628.0,57202.0
2022-09-01,19276.0,16423.8,13708.8,9724.0,1638.3,2346.4,1796.6,1987.8,4133.4,4005.3,952.2,818.0,23.5,172.9,1741.4,3211.0,334885.0,57560.0
2022-10-01,19428.1,16476.3,13686.5,9686.5,1647.0,2353.1,1794.5,2026.1,4224.7,4097.9,959.9,818.1,24.1,175.3,1738.9,3208.3,335125.0,57973.0
2022-11-01,19509.7,16502.7,13681.9,9662.0,1657.9,2362.0,1801.8,2029.9,4241.3,4116.7,967.9,824.8,25.6,177.9,1738.1,3196.0,335354.0,58177.0
2022-12-01,19625.4,16578.2,13699.1,9660.2,1665.2,2373.7,1808.9,2032.1,4259.0,4137.3,976.2,838.5,27.8,180.5,1739.7,3175.1,335569.0,58484.0
2023-01-01,20121.6,16906.9,13839.4,9764.1,1678.7,2396.6,1829.9,2067.5,4205.9,4087.9,984.9,857.9,28.7,183.2,1754.8,2843.4,335770.0,59927.0
2023-02-01,20289.8,16998.2,13889.9,9793.1,1687.5,2409.3,1837.9,2087.1,4245.7,4131.0,993.2,876.6,30.0,185.9,1760.5,2823.2,335975.0,60391.0
2023-03-01,20438.8,17098.8,13935.7,9820.2,1694.1,2421.4,1842.9,2123.5,4262.9,4151.0,1001.3,895.7,31.2,188.3,1765.9,2809.2,336189.0,60795.0
2023-04-01,20553.0,17135.3,14016.0,9879.3,1700.8,2435.9,1848.7,2141.7,4257.7,4148.2,1008.9,911.9,32.0,191.0,1775.9,2806.8,336406.0,61096.0
2023-05-01,20660.8,17196.7,14083.8,9923.7,1710.1,2450.0,1852.4,2155.8,4274.9,4167.6,1016.3,915.3,32.7,193.3,1784.3,2807.7,336632.0,61375.0
2023-06-01,20739.2,17216.3,14177.7,9987.7,1723.1,2466.9,1862.5,2145.4,4274.2,4169.0,1023.4,905.5,33.8,195.8,1796.0,2816.9,336875.0,61564.0
2023-07-01,20804.4,17250.6,14268.0,10046.4,1738.3,2483.4,1867.6,2147.9,4252.8,4149.4,1030.1,882.4,34.3,198.2,1807.4,2830.8,337147.0,61707.0
2023-08-01,20896.8,17275.3,14337.4,10088.1,1750.7,2498.6,1878.7,2158.1,4253.9,4152.2,1036.5,865.1,35.1,200.5,1816.4,2841.0,337443.0,61927.0
2023-09-01,20982.8,17282.2,14398.0,10122.4,1762.6,2513.0,1892.2,2164.5,4253.2,4149.3,1042.6,854.3,35.2,202.6,1824.4,2850.3,337738.0,62128.0
2023-10-01,21065.7,17341.3,14438.8,10142.0,1770.6,2526.2,1902.1,2182.6,4256.4,4157.3,1048.3,849.8,35.5,204.7,1830.3,2854.0,338021.0,62321.0
2023-11-01,21171.5,17427.1,14515.8,10195.7,1778.3,2541.7,1914.9,2198.3,4259.9,4158.3,1053.7,854.6,35.6,206.7,1840.9,2866.7,338295.0,62583.0
2023-12-01,21267.0,17481.7,14588.2,10243.4,1788.0,2556.9,1917.3,2196.3,4282.9,4185.4,1058.8,868.7,35.5,208.6,1851.1,2878.9,338550.0,62818.0
2024-01-01,21480.9,17575.4,14637.0,10263.4,1799.3,2574.3,1925.6,2239.8,4409.5,4299.1,1063.6,893.6,35.2,210.4,1871.1,2882.5,338787.0,63406.0
2024-02-01,21571.0,17596.2,14749.2,10346.3,1811.8,2591.2,1931.0,2202.0,4450.0,4353.3,1068.9,911.3,35.5,212.6,1886.2,2904.0,339029.0,63626.0
2024-03-01,21674.2,17617.0,14832.8,10403.2,1824.7,2605.0,1937.4,2211.7,4483.2,4386.9,1074.8,923.3,35.7,215.1,1897.5,2923.6,339288.0,63881.0
2024-04-01,21754.1,17638.6,14874.9,10430.2,1829.8,2614.9,1953.6,2220.6,4505.5,4402.3,1081.1,929.5,35.4,218.3,1903.7,2936.4,339554.0,64067.0
2024-05-01,21847.5,17713.3,14962.0,10496.6,1837.9,2627.5,1962.3,2229.1,4519.6,4424.1,1088.0,935.1,36.0,221.8,1915.3,2960.3,339828.0,64290.0
2024-06-01,21928.1,17751.1,14994.1,10512.5,1844.4,2637.1,1966.4,2227.1,4575.4,4448.2,1095.4,939.6,36.9,225.5,1919.8,2976.0,340108.0,64474.0
2024-07-01,21953.2,17743.2,15046.0,10546.8,1852.0,2647.3,1973.5,2226.5,4568.4,4473.5,1103.3,943.8,37.2,229.7,1926.5,2997.5,340335.0,64505.0
2024-08-01,21992.2,17752.9,15123.9,10606.1,1859.6,2658.1,1974.4,2205.4,4579.6,4484.9,1111.7,947.9,37.0,234.4,1936.5,3020.7,340512.0,64586.0
2024-09-01,22062.3,17769.9,15177.3,10642.5,1868.2,2666.6,1978.4,2211.8,4614.7,4520.1,1120.7,952.2,36.7,239.4,1943.1,3039.0,340688.0,64758.0
2024-10-01,22171.5,17810.5,15241.8,10688.2,1878.6,2675.0,1986.7,2212.7,4647.3,4552.9,1130.1,956.4,37.3,244.9,1951.1,3055.1,340855.0,65047.0
2024-11-01,22247.7,17851.4,15315.6,10745.6,1886.8,2683.3,1992.0,2220.0,4646.3,4552.0,1140.1,960.6,37.5,250.7,1960.3,3074.4,341011.0,65240.0
2024-12-01,22329.3,17867.9,15370.0,10784.4,1896.4,2689.2,2001.5,2217.8,4665.5,4571.2,1150.6,965.0,37.1,257.0,1966.8,3089.3,341149.0,65453.0
2025-01-01,22435.3,17889.8,15431.6,10817.5,1904.2,2709.9,2007.2,2273.0,4708.3,4613.2,1161.7,954.9,37.0,263.7,1987.1,3135.2,341268.0,65741.0
2025-02-01,22551.4,17910.5,15509.4,10877.7,1909.4,2722.4,2020.8,2222.6,4803.3,4685.7,1172.6,953.4,37.1,270.1,1995.7,3153.9,341378.0,66060.0
2025-03-01,22704.4,18029.1,15591.7,10941.9,1915.4,2734.4,2029.2,2228.5,4852.4,4756.1,1183.6,957.3,37.2,275.9,2005.0,3172.9,341496.0,66485.0
2025-04-01,22873.1,18132.9,15599.9,10931.6,1926.0,2742.4,2037.4,2243.5,4995.5,4895.8,1194.5,977.5,37.2,281.3,2004.6,3188.0,341632.0,66952.0
2025-05-01,22722.6,17980.9,15615.2,10937.3,1928.0,2749.9,2024.1,2247.9,4902.6,4802.3,1205.3,992.8,37.9,286.3,2005.8,3203.2,341784.0,66482.0
2025-06-01,22764.1,17962.1,15615.8,10922.1,1935.1,2758.6,2019.4,2243.7,4958.7,4857.8,1216.2,1004.3,38.8,290.9,2004.8,3211.5,341945.0,66573.0
2025-07-01,22903.1,18040.9,15758.1,11042.0,1940.5,2775.6,2032.5,2249.3,4976.9,4875.4,1226.9,1029.4,38.7,295.2,2021.9,3246.5,342076.0,66953.0
2025-08-01,23009.0,18076.9,15841.3,11111.4,1942.0,2787.9,2035.0,2239.4,5022.1,4907.6,1237.6,1047.8,38.6,299.0,2031.8,3269.1,342178.0,67243.0
2025-09-01,23091.6,18094.6,15911.2,11164.7,1947.4,2799.1,2042.1,2258.2,5042.8,4921.9,1248.3,1059.5,38.2,302.4,2040.1,3289.5,342277.0,67464.0
2025-10-01,23095.8,18063.1,15967.0,11224.7,1933.5,2808.7,2046.4,2244.4,5041.5,4938.0,1258.9,1056.2,38.9,305.3,2046.3,3309.8,342366.0,67459.0
2025-11-01,23166.5,18078.6,16039.0,11282.1,1937.9,2819.0,2046.9,2262.3,5044.9,4940.8,1269.5,1050.2,38.6,308.0,2055.2,3328.3,342439.0,67651.0
2025-12-01,23232.9,18070.6,16061.4,11292.9,1943.4,2825.1,2062.0,2262.6,5074.2,4947.0,1280.1,1045.0,37.4,310.1,2057.6,3332.7,342495.0,67834.0
2026-01-01,23448.1,18183.1,16143.8,11357.8,1948.3,2837.7,2064.1,2305.6,5093.7,4988.4,1290.6,1042.7,36.6,311.9,2087.9,3231.0,342540.0,68454.0
2026-02-01,23429.8,18100.8,16176.7,11377.6,1954.5,2844.6,2065.1,2265.9,5072.0,4966.2,1301.0,1039.1,36.7,313.5,2094.0,3231.2,342581.0,68392.0
