,ICSA,ICNSA,CCSA,CCNSA
2001-03-22,253733.40738670708,273050.3635728265,1879474.43828719,1976059.2192177868
2001-03-29,284384.7355038512,304184.57992647105,1891830.3480357998,1990829.5701488992
2001-04-05,292773.6102493139,312769.16314122645,1926832.4838993999,2026810.2483589628
2001-04-12,271293.0012991031,291194.24430955166,1987101.8765374199,2086608.0915896625
2001-04-19,287080.63942645874,306598.9220886569,1950327.6653221229,2047919.078633114
2001-04-26,276823.58321378275,295675.80957245023,1925191.6727290358,2019452.8045223732
2001-05-03,260820.2080193151,278732.9426947857,1923065.1785349438,2012628.851912297
2001-05-10,274756.091063032,291469.52519699576,1896229.79548776,1979796.966157579
2001-05-17,291001.44408718817,306273.16364742426,1914902.277646956,1991260.8754481364
2001-05-24,265767.740414905,279376.2422029762,1752351.021909573,1820393.530849929
2001-05-31,287951.64159944566,299699.54596467747,1854845.4784606842,1913585.0002868434
2001-06-07,223192.27268126124,232909.18634334428,1871736.8073783517,1920321.375688767
2001-06-14,272682.513787101,280227.50124452874,1791410.1881623429,1829135.1254494814
2001-06-21,259415.77564981967,264679.40332850127,1857020.0720742478,1883338.2104676557
2001-06-28,251304.70836752368,254210.63186094924,1815841.6369421661,1830371.2544092939
2001-07-05,254803.83134203966,255309.90272144004,1901989.5350712035,1904519.8919682056
2001-07-12,221244.1469130303,219343.02604694664,1880980.5879228339,1871474.9835924157
2001-07-19,245420.43738068256,241139.69839727986,1767291.0453536701,1745887.3504366565
2001-07-26,251792.12778582444,245193.85913380416,1771601.6026222378,1738610.2593621365
2001-08-02,266419.4756286974,257599.37953758295,1764486.7854587648,1720386.3050031923
2001-08-09,234420.56535945635,223506.56976080764,1735281.5051276144,1680711.5271343708
2001-08-16,228169.06641478286,215319.4694572332,1758087.5340765794,1693839.5492888312
2001-08-23,231058.3390158156,216459.51308614833,1701825.8493042877,1628831.7196559513
2001-08-30,250815.69409977426,234679.3826512459,1675671.571141568,1594990.0138989263
2001-09-06,240749.94000628448,223310.18640138154,1756970.5010356673,1669771.7330111524
2001-09-13,226859.23000543914,208368.98291757112,1752208.7643710014,1659757.5289316613
2001-09-20,241759.7894399003,222487.23404976696,1676754.7683996668,1580391.991449
2001-09-27,235051.61795655848,215276.2861560424,1759374.2586029656,1660497.5996003852
2001-10-04,247946.63058011004,227955.34660185222,1682097.6524519424,1582141.2325606532
2001-10-11,222997.61675355956,203080.3370313843,1726854.634826603,1627268.236215727
2001-10-18,229013.82146789672,209459.4290673442,1757177.8228975232,1659405.8608947606
2001-10-25,228731.09157109944,209823.20618824492,1717862.341854287,1623322.9149400142
2001-11-01,213618.1925134092,195631.05681434323,1747033.5768495547,1657097.8983542249
2001-11-08,241231.81174003545,224426.3137061247,1704533.0501079778,1620505.5599384243
2001-11-15,242168.67685559613,226788.56582699576,1727807.9508915858,1650907.395748584
2001-11-22,240015.46513511805,226283.81643558046,1735730.4328983699,1667072.1894006818
2001-11-29,238305.0375884779,226421.01700904372,1718082.4404499745,1658662.3375528036
2001-12-06,222650.7322912649,212786.7073612261,1756822.4406022565,1707502.3159520624
2001-12-13,239772.1316377736,232071.17158144707,1699195.370917502,1660690.5706358696
2001-12-20,243253.3076114942,237827.10825178883,1763592.214720772,1736461.2179222454
2001-12-27,238750.7825705693,235678.04627684123,1785823.255473363,1770459.5740047223
2002-01-03,250801.13958881577,250126.43376647934,1799398.007608118,1796024.4784964358
2002-01-10,261726.45780040472,263459.5684789284,1812321.0181777314,1820986.5715703499
2002-01-17,286378.6158662811,290494.40576122067,1833370.8892944255,1853949.8387691234
2002-01-24,263064.93093693856,269503.70404469536,1872195.903989904,1904389.7695286884
2002-01-31,266576.56711823697,275244.93455540773,1903247.466173379,1946589.3033592326
2002-02-07,263737.94279631256,274510.17732537235,1837702.499317867,1891563.671963166
2002-02-14,238058.14155286617,250778.00114795208,1819918.655955036,1883517.9539304653
2002-02-21,268242.5892425842,282725.58324612014,1836941.9628886709,1909356.9329063504
2002-02-28,271134.2747049276,287170.33970643266,1872599.2051650076,1952779.530172533
2002-03-07,308537.3880508587,325893.93467661046,1886115.506189244,1972898.239318003
2002-03-14,269809.53487211233,288234.82129459316,1870705.2804879243,1962831.712600329
2002-03-21,278057.10947713826,297283.89271440345,1848556.547393307,1944690.463579633
2002-03-28,273573.30478881067,293322.7168348104,1893319.2960098474,1992066.3562398462
2002-04-04,256837.4444735265,276823.0370394359,1926527.3837228857,2026455.3465524327
2002-04-11,291493.71707420703,311425.6162752581,1947088.871918756,2046748.3679240113
2002-04-18,285325.0350568989,304914.1457845448,1887902.1163386188,1985847.6699768486
2002-04-25,285322.06022671587,304284.25922531413,1892138.6319757071,1986949.6269686986
2002-05-02,258951.28021510283,277011.53704613424,1862093.7095367615,1952394.9936919187
2002-05-09,292507.56917632645,309403.9352990984,1901187.025653173,1985668.8562670324
2002-05-16,249066.38374178697,264553.79185242445,1853442.5751357812,1930879.6156889687
2002-05-23,277300.86968612927,291154.6882087002,1916502.262301132,1985771.3549139868
2002-05-30,299557.7735021522,311577.0646770798,1789529.723038232,1849626.1789128701
2002-06-06,249871.49056061904,259881.92487460293,1850947.0924416783,1900999.2640115977
2002-06-13,254118.47304921332,261974.85773535215,1873363.5076187456,1912645.4310494396
2002-06-20,261877.1629013399,267465.5478357285,1856309.6804506152,1884251.605122558
2002-06-27,250518.6563129917,253757.9867635691,1970174.178148541,1986370.8304014278
2002-07-04,232452.2546476284,233295.54690357094,1841182.1179388196,1845398.5792185322
2002-07-11,254369.83449345242,252804.85732361596,1761597.852473511,1753772.9666243286
2002-07-18,235058.71657526845,231108.1686317094,1795249.3288266275,1775496.5891088322
2002-07-25,255806.34046125604,249527.52105474466,1699718.6799270792,1668324.5828945225
2002-08-01,232711.3411008987,224195.31912354412,1773464.8090154303,1730884.6991286576
2002-08-08,267675.48889959557,257045.78194864714,1725423.3814963433,1672274.8467416011
2002-08-15,230755.6164347595,218166.39929576102,1803197.959918222,1740251.8742232295
2002-08-22,235934.03187295023,221567.9003466635,1721216.673208078,1649386.0155766443
2002-08-29,251436.62009325754,235501.94260012737,1735162.4740479575,1655489.0865823065
2002-09-05,219470.92313772225,202198.81851259054,1702685.5548415745,1616325.0317159158
2002-09-12,240296.33002351067,221937.3153350755,1816121.2769220264,1724326.2034798504
2002-09-19,255708.39720616533,236528.7542216897,1709163.2422773445,1613265.0273549664
2002-09-26,211484.01653809115,191761.9295346756,1814290.8253965827,1715680.390379505
2002-10-03,238146.83406158522,218168.35500174016,1762238.4137804708,1662346.0184812455
2002-10-10,239346.39993387964,219401.29952706664,1745950.8680405696,1646225.3660065047
2002-10-17,247535.61951408337,227913.18434102018,1742047.3279425076,1643935.1520771917
2002-10-24,217898.74078967425,198883.57744851225,1746486.7073810326,1651410.8906752227
2002-10-31,217566.67591290025,199434.58304453656,1634978.3786010132,1544317.9142591949
2002-11-07,246386.16271055958,229400.13077581703,1723297.9552629439,1638367.7955892312
2002-11-14,244441.6912715448,228848.08810002255,1786611.980079882,1708643.9642222708
2002-11-21,245400.36771921598,231425.36515515394,1750152.038118344,1680277.0252980338
2002-11-28,248698.4473276602,236544.7408012553,1691593.6978742387,1630825.1652422142
2002-12-05,235336.3816754334,225180.25027941304,1769370.656071549,1718589.9990914473
2002-12-12,251202.89224858853,243191.64196111032,1868070.3726899906,1828014.1212525994
2002-12-19,254413.70449938907,248663.53163712562,1856664.882514108,1827914.0182027908
2002-12-26,241684.27806548853,238278.5839556797,1803092.3027654258,1786063.8322163818
2003-01-02,282817.49561209325,281805.6769278017,1865884.1569483003,1860825.0635268425
2003-01-09,264384.37593013135,265781.1082338519,1812178.9097511363,1819162.571269739
2003-01-16,241833.0754254232,245618.1003126314,1757401.957079724,1776327.081515765
2003-01-23,271921.7792392233,278040.19816916384,1808189.0199623262,1838781.114612029
2003-01-30,249735.3548618371,258098.42541378812,1943929.8286383483,1985745.1813981035
2003-02-06,278322.65460895223,288809.0776149512,1862852.3111257956,1915284.4261557902
2003-02-13,285904.02830072277,298361.7071859974,1874388.8583789705,1936677.2528053438
2003-02-20,258042.8809519616,272291.12776534125,1880668.7999085847,1951910.0339754827
2003-02-27,286425.1201737707,302257.27631149825,1998936.8985568013,2078097.6792454391
2003-03-06,279557.92279653955,296744.3564081327,1991949.2149496647,2077881.3830076307
2003-03-13,286839.5674656957,305131.0040670546,2027265.108536879,2118722.2915436733
2003-03-20,303837.7143738232,322968.85235989705,1912722.156002127,2008377.8459324967
2003-03-27,272304.67170852027,291998.03032562294,1938416.5568487106,2036883.3499342238
2003-04-03,264993.489515852,284963.43348208506,1849335.944420051,1949185.6642512165
2003-04-10,262981.207154236,282938.08955435286,1999099.298100506,2098883.7101010904
2003-04-17,263821.7034731128,283476.06683868467,1865500.8167925526,1963772.6336204119
2003-04-24,274352.1965661495,293418.9712079674,1931940.4416593935,2027274.314868483
2003-05-01,279799.3190708151,298001.9577703169,1862065.6701121214,1953078.8636096304
2003-05-08,277741.70501210185,294816.1941016691,1881996.5198412386,1967368.9652890752
2003-05-15,284660.7445064902,300359.43316133507,1862847.550186159,1941340.9934603837
2003-05-22,270881.9808788401,284977.1730798861,1866449.239169941,1936925.2001751713
2003-05-29,290719.4817099206,303006.73877933546,1860997.0041222093,1922433.2894692833
2003-06-05,262997.91997703176,273299.02578596625,1850758.7559650852,1902264.2850097576
2003-06-12,305672.20318976813,313837.7490305047,1909310.9041934472,1950138.6333971303
2003-06-19,272038.1348813401,277949.6865124972,1801280.910637491,1830838.6687932764
2003-06-26,247493.47830464336,251065.2937383025,1856002.2533879026,1873861.3305561983
2003-07-03,241933.36504555878,243113.63816128526,1894065.2407969064,1899966.6063755385
2003-07-10,262862.6307611192,261634.2427093209,1795613.9718524173,1789472.0315934261
2003-07-17,249920.2114840661,246300.97898022967,1773573.436014599,1755477.2734954169
2003-07-24,261681.26327120056,255723.68017970884,1786401.2090887723,1756613.2936313138
2003-07-31,255855.33245907148,247645.8084147083,1845803.8087355457,1804756.18851373
2003-08-07,245568.91873878308,235226.52584906717,1786008.3983724965,1734296.4339239171
2003-08-14,232014.0385372033,219688.78434356002,1739977.8083088943,1678351.537340678
2003-08-21,220226.59506209253,206097.24680907978,1781861.6980359112,1711214.9567708473
2003-08-28,234689.8723576073,218961.3641273061,1694707.2708323281,1616064.7296808222
2003-09-04,252900.00028614845,235800.46060501036,1777184.5093261949,1691686.8109205044
2003-09-11,242179.86042807365,223957.30345823918,1758081.6254797364,1666968.8406305641
2003-09-18,219461.1110453169,200379.83935183796,1718117.0756535637,1622710.717186169
2003-09-25,240200.40255950746,220537.17362825098,1688818.235833341,1590502.0911770586
2003-10-02,243123.1435900533,223163.15569765717,1685079.497569914,1585279.5581079335
2003-10-09,224115.7180844165,204148.47374181254,1756267.9409844256,1656431.7192714058
2003-10-16,239999.26070944965,220314.36767615835,1792537.6685722286,1694113.203405772
2003-10-23,239171.83188565346,220054.80265753824,1702212.3878562986,1606627.2417157227
2003-10-30,222036.7397484495,203764.85044375915,1761372.6227365194,1670013.1762130677
2003-11-06,245695.7158163506,228533.9845233571,1639802.5394214087,1553993.882956441
2003-11-13,250137.20070001547,234334.54361686698,1721868.1876019593,1642854.902186217
2003-11-20,259596.93283747454,245382.5539561589,1757637.3312345208,1686565.4368279425
2003-11-27,260990.0937341627,248570.16043312024,1722828.1476644226,1660728.4811592104
2003-12-04,226530.0616819106,216084.71444497534,1731509.7428286527,1679283.0066439766
2003-12-11,235291.2666561278,226972.0062892596,1755726.330829106,1714130.028994765
2003-12-18,259368.37505536244,253295.8652973515,1815108.5108472377,1784745.962057183
2003-12-25,261721.91565083852,257984.23304922984,1802956.3720266942,1784267.959018651
2004-01-01,264167.3339031625,262818.6903394496,1712506.2692043255,1705763.0513857612
2004-01-08,316678.6441083901,317738.60050115414,1730575.635755288,1735875.417719108
2004-01-15,269881.70879028086,273334.8913808383,1818383.328217232,1835649.2411700191
2004-01-22,280732.4296611465,286528.75299673754,1883476.4328720188,1912458.0495499738
2004-01-29,280305.4947391031,288360.88811944105,1734662.0243908963,1774938.9912925863
2004-02-05,277946.0237101726,288143.65056087065,1857911.737805459,1908899.8720589492
2004-02-12,265477.89509071124,277669.8475776194,1866707.2947023027,1927667.0571368437
2004-02-19,283446.4170698533,297455.8613753787,1971673.8482657648,2041721.0697933917
2004-02-26,262121.25056840156,277744.99171441735,1891227.1657062331,1969345.8714363119
2004-03-04,271586.490739656,288597.91975644196,1936715.9576168568,2021773.102700787
2004-03-11,269036.72148511134,287189.10218016856,1930483.9365096218,2021245.839984908
2004-03-18,278460.4069367801,297490.45459175407,1821430.9030485547,1916581.1413234246
2004-03-25,312591.27896441787,332222.9790542013,1969527.6627786313,2067686.1632275484
2004-04-01,250216.78721594426,270165.39876271226,1943621.4972388642,2043364.5549727045
2004-04-08,288584.69509415096,308560.8805911112,1958552.786434823,2058433.7139196242
2004-04-15,253875.34386110294,273589.36586495704,2128290.2350414614,2226860.3450607317
2004-04-22,270476.45864591404,289642.38217005535,1825182.0230802342,1921011.640700941
2004-04-29,293101.0650029826,311440.90475931996,2011641.8964382813,2103341.095219968
2004-05-06,276676.37209930737,293924.1244365274,1905724.0636187037,1991962.825304804
2004-05-13,258241.20204869786,274146.7031071593,1927901.4411491617,2007428.9464414688
2004-05-20,262142.32432782734,276474.87845185766,1903544.461725876,1975207.2323460274
2004-05-27,281322.47104082257,293874.1968214077,1875853.9283378928,1938612.5572408186
2004-06-03,258247.5781503682,268836.4235667556,1858909.5095089506,1911853.7365908877
2004-06-10,270370.9471651586,278843.33009332913,1893444.0929925367,1935806.0076333894
2004-06-17,265605.7519650334,271838.78775473055,1790063.048422018,1821228.2273705038
2004-06-24,252855.87035743461,256759.1541686568,1891951.7444733977,1911468.1635295087
2004-07-01,292440.124331393,293957.0423790859,1821831.0497694828,1829415.640007947
2004-07-08,267418.8341505796,266527.3848390482,1774245.278999688,1769788.0324420312
2004-07-15,225174.92554818775,221888.03858537815,1796420.727529607,1779986.2927155592
2004-07-22,256038.56807909493,250403.9169422664,1870189.823136514,1842016.5674523714
2004-07-29,241086.37117918863,233185.68165200044,1769385.2287248583,1729881.7810889175
2004-08-05,261685.6756934569,251633.5405035472,1803467.2484066254,1753206.5724570767
2004-08-12,235043.16971817502,222985.38646789672,1739118.3261426103,1678829.4098912186
2004-08-19,243416.62710366462,229528.08360086827,1804558.243896057,1735115.5263820752
2004-08-26,251120.6172570198,235602.75491734772,1792940.75688909,1715351.4451907296
2004-09-02,255165.34361992276,238243.23573178813,1844224.3966061696,1759613.8571654966
2004-09-09,223053.2179027032,204972.30513221677,1737371.545988712,1646966.98213628
2004-09-16,235181.0419094788,216203.57239402502,1775249.5125108138,1680362.1649335448
2004-09-23,232490.52914250526,212891.7548063574,1743763.4378804779,1645769.5661997388
2004-09-30,229515.18210213893,209579.36636329553,1802118.255717286,1702439.1770230688
2004-10-07,265786.49789035553,245802.79266338595,1701293.4125371499,1601374.8864023022
2004-10-14,245658.82015648266,225917.07195192177,1775844.8954075766,1677136.1543847723
2004-10-21,221236.5825143477,202023.12846357128,1731651.0484608829,1635583.7782070008
2004-10-28,254762.19305012812,236355.70783076418,1742361.161302437,1650328.7352056173
2004-11-04,273937.9991010426,256605.45299970455,1755677.7027044927,1669014.972197803
2004-11-11,258955.42107615544,242948.2078133321,1770478.5752300636,1690442.508915947
2004-11-18,222272.84960460337,207823.1400842847,1759992.4346992376,1687743.8870976444
2004-11-25,239604.42557453454,226921.8004443101,1785524.7806984151,1722111.6550472928
2004-12-02,267860.09208253,257128.50194598734,1863600.012120489,1809942.0614377756
2004-12-09,240385.5235514489,231760.62092238548,1844649.84379462,1801525.330649303
2004-12-16,259927.09446667338,253533.97616283872,1850143.82349893,1818178.2319797566
2004-12-23,267251.2780542857,263182.6707752961,1795681.4854311994,1775338.4490362515
2004-12-30,244148.78604774814,242463.7014538117,1786063.8464803249,1777638.4235106427
2005-01-06,259605.27935633043,260328.15815471142,1890480.5454992985,1894094.9394912035
2005-01-13,214314.0814348764,217434.4388883918,1898655.0632236549,1914256.850491232
2005-01-20,249956.95064504573,255429.5286441882,1940397.1728469317,1967760.062842644
2005-01-27,263844.5416715536,271589.96516456647,1848078.6479643555,1886805.7654294197
2005-02-03,251114.27416343364,261020.2024233812,1877752.5830635559,1927282.224363294
2005-02-10,296371.4724061464,308294.22843683895,1817489.7592931085,1877103.5394465711
2005-02-17,252314.53377822667,266081.18822586286,1889209.7169351373,1958042.9891733183
2005-02-24,268847.66522824246,284258.544573419,1967032.7349889376,2044087.1317148206
2005-03-03,278867.5976772457,295699.1803281588,1901132.7697613204,1985290.683015886
2005-03-10,299739.617168043,317747.77544953243,1962514.2193697358,2052555.010777183
2005-03-17,257535.42148255638,276458.96249872196,1925691.800717267,2020309.505798095
2005-03-24,297199.17621314025,316763.6302263532,1954774.1851475546,2052596.455213619
2005-03-31,280299.81639553746,300221.41777465754,1883122.3138093113,1982730.3207049114
2005-04-07,265529.34551648324,285519.1485140416,1945258.1766080637,2045207.1915958556
2005-04-14,286999.2472446415,306767.3169071691,1790482.051640261,1889322.399952899
2005-04-21,282582.5915112284,301842.2089371694,1928301.5938283473,2024599.6809580522
2005-04-28,269843.0996293736,288314.9205809231,1852333.5699128143,1944692.6746705617
2005-05-05,278875.12284534407,296291.2293971113,1989028.1986610831,2076108.7314199193
2005-05-12,270777.5207081273,286885.3071669337,1961207.0527412468,2041745.985035279
2005-05-19,276755.4882984147,291321.3250322928,1938110.298310766,2010939.4819801569
2005-05-26,283268.9267227978,296081.5487584915,1982210.799813591,2046273.9099920595
2005-06-02,295225.62123525486,306099.1924755204,1849169.221171322,1903537.0773726502
2005-06-09,250808.82707079002,259585.63568765318,1973649.206725412,2017533.2498097278
2005-06-16,299184.9506492949,305737.6965588956,1921920.1242404236,1954683.8537884268
2005-06-23,235626.48155169626,239860.1227928592,1852037.0710583506,1873205.2772641655
2005-06-30,260287.9652977516,262141.09653414553,1908893.1054886829,1918158.7616706525
2005-07-07,269019.5649195736,268465.3080714665,1784910.2948205308,1782139.0105799956
2005-07-14,262047.7889577188,259094.18304547947,1787152.3297781502,1772384.3002169537
2005-07-21,246173.36178514455,240863.24633014476,1786315.8167128288,1759765.23943783
2005-07-28,250149.98313970168,242560.37681378872,1779048.7758511296,1741100.7442215648
2005-08-04,243744.8459203083,233985.82945600463,1741972.5411584468,1693177.4588369285
2005-08-11,240308.9777977119,228522.09736157197,1845965.0695261266,1787030.667345427
2005-08-18,260074.02841367503,246430.24260049916,1762733.4820017712,1694514.5529358918
2005-08-25,251063.6684695264,235760.8686945209,1785156.1933630412,1708642.1944880139
2005-09-01,233915.18546313664,217175.32571660634,1731977.8895009714,1648278.59076832
2005-09-08,256646.0180486152,238711.89564363423,1663643.792236059,1573973.180211154
2005-09-15,246864.82232432443,227996.55632988174,1763655.9199698295,1669314.589997616
2005-09-22,253825.23890864942,234296.4973455759,1651387.7381701977,1553744.03035483
2005-09-29,250736.96502247918,230830.99554344502,1741832.4577911927,1642302.6103960217
2005-10-06,228806.5515175146,208812.07314268054,1676555.676408908,1576583.2845347377
2005-10-13,233077.70813191967,213284.72362709354,1845492.5103962112,1746527.5878720805
2005-10-20,253215.85513523343,233911.44477039698,1794289.5299774376,1697767.478153255
2005-10-27,251968.02628437534,233432.1839805072,1758001.7364711994,1665322.5249518587
2005-11-03,243573.81613811513,226075.38839543032,1821236.266330358,1733744.1276169338
2005-11-10,246975.91823338464,230768.70474335479,1722341.0175716951,1641304.9501215457
2005-11-17,265944.7200925627,251263.79259099576,1799612.028054883,1726207.390547048
2005-11-24,239682.84926134645,226741.1420144064,1791274.4948145314,1726565.9585798313
2005-12-01,258727.26261713874,247712.48399238233,1804269.43304028,1749195.539916498
2005-12-08,249612.05383880076,240683.96375624478,1865269.359424019,1820628.909011239
2005-12-15,251633.36159443506,244921.45434589265,1849507.016461821,1815947.480219109
2005-12-22,273731.218900119,269332.8449455238,1839036.0736679006,1817044.2038949246
2005-12-29,272045.59247569926,270024.5464581511,1753891.9711345523,1743786.7410468112
2006-01-05,274311.0864411206,274696.681900284,1800817.0482996344,1802745.0255954517
2006-01-12,284129.12593712786,286915.7701414726,1854838.97284381,1868772.1938655337
2006-01-19,267260.08549805667,272407.36056263314,1877596.00527267,1903332.3805955525
2006-01-26,279497.7496751404,286930.998788347,1827996.883302374,1865163.1288684069
2006-02-02,266830.0680837538,276441.4783403795,2016131.5217661692,2064188.5730492978
2006-02-09,278422.7737818542,290072.93991683127,1981710.9828757662,2039961.8135506513
2006-02-16,273515.3660698052,287035.3124120545,1945495.9099031552,2013095.6416144017
2006-02-23,278633.589521145,293827.2208408074,1927510.0745688668,2003478.2311671788
2006-03-02,287596.77299328207,304243.718694898,1920714.1676534717,2003948.8961615516
2006-03-09,267645.42525418435,285504.2356632378,1889937.8294186874,1979231.881463955
2006-03-16,312294.83579586685,331106.4841792983,1946321.7809517144,2040380.0228688712
2006-03-23,266536.2102650615,286027.8497919445,1958885.150484249,2056343.3481186638
2006-03-30,263848.3766032671,283737.2977541555,1886045.7155571396,1985490.3213115812
2006-04-06,299579.13195633213,319576.8629824479,1965536.427303685,2065525.082434264
2006-04-13,293938.6223792973,313755.1133379146,1940308.2663967928,2039390.721189879
2006-04-20,290994.27113071794,310342.10081089695,1850487.3472860518,1947226.4956869467
2006-04-27,290345.8247380615,308944.3694588817,1899261.8625782344,1992254.5861823352
2006-05-04,279755.3527855428,297334.8566019916,1916655.4446583525,2004552.9637405963
2006-05-11,265243.6754547002,281549.1627363696,2025499.8342566297,2107027.2706649764
2006-05-18,278366.4989357379,293161.47256973083,1951540.3521120087,2025515.2202819737
2006-05-25,265384.3560184615,278454.2275972452,1848462.9198883618,1913812.27778228
2006-06-01,288291.3615394169,299446.5637816874,1930115.2788657548,1985891.2900771073
2006-06-08,269419.6920184349,278498.4282800011,1818215.7477785158,1863609.429086347
2006-06-15,257072.4027064179,263942.9937018021,1938824.5863229602,1973177.5412998812
2006-06-22,262363.72891922144,266926.5226167958,1849744.6272827457,1872558.5957706175
2006-06-29,271041.96483336086,273230.78182262485,1856898.9796292114,1867843.0645755313
2006-07-06,254023.85428861273,253806.947655802,1915991.8160669883,1914907.2829029344
2006-07-13,247781.2922533574,245161.8080432075,1773480.7301080532,1760383.3090573037
2006-07-20,261442.77533796907,256458.7069230351,1756309.8909917779,1731389.548917108
2006-07-27,259207.12435003728,251930.7613693988,1785674.173835687,1749292.3589324944
2006-08-03,245779.17417702588,236316.05403705317,1855989.1096413643,1808673.5089415007
